instructorName,instructorId
Kleber Oliveira,101103837
IBM Security Learning Services,41404606
Yuan Yao,12160444
"Professor David Pannell, BSc(Agric), BEc, PhD",4983174
Yasmin Khan Gibson,41747584
Patricia BEAUMONT,34071679
Vincent  Kemlin,8113339
Miguel Revesso Teixeira,83633418
Nilosree Sengupta,70371614
"Stefan Baral, MD, MPH, MBA, FRCPC",41845585
Dr. Mitch Prinstein ,7206659
Claudia Zuppini Dalcorso,1419014
Maria Del Pilar Villamil Giraldo,48381430
Prof. Dorian A. Canelas,2509303
Donald Saari,15217586
Catherine Clarke,46298258
Fabian Garcia Pastor,2311493
Derrick Ng,15700452
Yao Zhao,33665473
Antoine Buyse,22113130
Kai  Hockerts,5011994
Louise Connelly,555110
David Hik,18033641
Dr. Virginie Galtier,16472403
Martin Beniston,9283156
Stéphane Riot,10491902
Helen Ryall,17138773
Traian Lavric,18946951
Joaquín Saiz Alcaine,3980791
Leslie Holden,88205891
Till Roenneberg,7570174
Daryl Boyd,40353905
Oliver Geffen Obregon,45610990
Mary Goldberg,13721699
C. K. Gunsalus,15495544
Dr. Joyelle Harris,5869272
Jorge Fajardo,88773912
In Gu Kang,18119047
Ahmed Elhefny,4269400
Google Cloud Training,22997770
"Josh Horwitz, JD",68000421
孙 乐强,11383783
Antonio Pita,33459747
Markku Rummukainen,98696284
Roselva Tunstall,104602437
"Kevin E. Bonine, PhD",22681452
"Laura K. Wiley, PhD",33019892
Daryl Maeda,80699817
Marisol Arriagada,12208837
Mark Coopersmith,22092491
"Dr. Paul Graham Raven, MA",98695933
Elise Deitrick,43777770
George Liu,3211445
Dr J Adam Carter,2494928
"Brad Hokanson, PhD",3505201
Brooke Anderson,7838525
Helen Avery,94467777
Lorenz E. Baumer,6403326
Ruth Kerr,48174756
Valeria Herskovic,552980
Anthony J. Martin,41584300
Prof. Daniel M. Ogilvie,2645301
Sona Dimidjian,14664896
Jérôme Chenal,3959836
 Professor Michela Massimi,1935226
Karen  Vallejo,84840576
Anke Audenaert,44053421
Gabriele Jacobs,69614596
Tomàs Molina,20044149
